,Price,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Sku_id,Update_time,rate,Munit,min_order,Forecast_box,SS,Forecast_box_tomorrow,Stock,Inventory,Suggestion_qty
134,16040,16040,杭州,001,001,杭州,A级-进口蕉,2020-06-15,13652,16040,2020-06-14,27.0,斤,10.0,506,10.0,492,378,0,516
135,40044,40044,杭州,001,001,杭州,黄油面包脆,2020-06-15,119,40044,2020-06-14,10.0,包,1.0,12,10.0,12,62,61,0
136,40108,40108,杭州,001,001,杭州,草莓芝芝夹心雪糕,2020-06-15,4,40108,2020-06-14,30.0,支,10.0,7,10.0,0,26,19,0
137,12070,12070,杭州,001,001,杭州,A级-千禧小番茄(中),2020-06-17,3353,12070,2020-06-14,6.0,斤,10.0,559,22.59718241421316,557,1406,993,0
138,12070,12070,杭州,001,001,杭州,A级-千禧小番茄(中),2020-06-17,3353,12070,2020-06-14,6.0,斤,10.0,559,22.59718241421316,557,1406,993,0
139,12070,12070,杭州,001,001,杭州,A级-千禧小番茄(中),2020-06-17,3353,12070,2020-06-14,6.0,斤,10.0,559,22.59718241421316,557,1406,993,0
140,12070,12070,杭州,001,001,杭州,A级-千禧小番茄(中),2020-06-17,3353,12070,2020-06-14,6.0,斤,10.0,559,22.59718241421316,557,1406,993,0
141,12070,12070,杭州,001,001,杭州,A级-千禧小番茄(中),2020-06-17,3353,12070,2020-06-14,6.0,斤,10.0,559,22.59718241421316,557,1406,993,0
142,12070,12070,杭州,001,001,杭州,A级-千禧小番茄(中),2020-06-17,3353,12070,2020-06-14,6.0,斤,10.0,559,22.59718241421316,557,1406,993,0
143,7070,07070,杭州,001,001,杭州,A级-佳沛阳光金果,2020-06-15,13815,07070,2020-06-14,33.0,只,1.0,419,38.887593110903424,410,2271,2195,0
144,40084,40084,杭州,001,001,杭州,新椰汁,2020-06-15,3253,40084,2020-06-14,12.0,瓶,10.0,271,271.0,272,6861,6768,0
145,2270,02270,杭州,001,001,杭州,A级-黄金油桃(中),2020-06-15,453,02270,2020-06-14,7.0,斤,1.0,65,36.435879752427184,64,253,225,0
146,2030,02030,杭州,001,001,杭州,A级-美女油桃(中),2020-06-15,1514,02030,2020-06-14,10.0,斤,1.0,151,33.51636822174369,192,319,131,54
147,14190,14190,杭州,001,001,杭州,A级-青玉香芒(大),2020-06-15,1338,14190,2020-06-14,10.0,斤,10.0,159,20.105842383724777,125,158,8,171
148,14190,14190,杭州,001,001,杭州,A级-青玉香芒(大),2020-06-15,1338,14190,2020-06-14,10.0,斤,10.0,159,20.105842383724777,125,158,8,171
149,67206,67206,杭州,001,001,杭州,山楂吃光光,2020-06-15,46,67206,2020-06-14,16.0,盒,1.0,3,10.0,3,359,358,0
150,11330,11330,杭州,001,001,杭州,A级-新疆小白杏,2020-06-15,533,11330,2020-06-14,3.0,斤,1.0,559,10.0,178,600,41,528
151,43410,43410,杭州,001,001,杭州,那么大西梅,2020-06-15,16,43410,2020-06-14,12.0,罐,10.0,1,10.0,1,143,142,0
152,6120,06120,杭州,001,001,杭州,A级-火箭筒苹果,2020-06-15,60,06120,2020-06-14,5.0,条,1.0,13,10.0,11,29,17,6
153,40480,40480,杭州,001,001,杭州,进口活性草莓味乳酸菌饮品,2020-06-15,210,40480,2020-06-14,10.0,条,1.0,21,10.0,25,334,315,0
154,14890,14890,杭州,001,001,杭州,经典-猫山王榴莲D197,2020-06-15,24,14890,2020-06-14,20.0,斤,10.0,1,10.0,2,70,68,0
155,40387,40387,杭州,001,001,杭州,袋装椰汁5包装,2020-06-15,230,40387,2020-06-14,6.0,袋,1.0,38,10.0,39,22,-9,48
156,40068,40068,杭州,001,001,杭州,老家奶香花生,2020-06-15,54,40068,2020-06-14,18.0,袋,0.0,3,10.0,3,241,241,0
157,67010,67010,杭州,001,001,杭州,A级-五月脆(中),2020-06-15,1204,67010,2020-06-14,11.0,斤,1.0,129,10.0,109,147,18,121
158,11680,11680,杭州,001,001,杭州,A级-水蜜桃(中),2020-06-15,2404,11680,2020-06-14,6.0,斤,1.0,401,60.84939513987701,396,343,278,184
